Gene_designations	OLN	Swiss-Prot-AC	Entry	SGD_X_ref
ANB1;HYP1;TIF51B	YJR047C	P19211	IF5A2_YEAST	S000003808
ANP1;GEM3	YEL036C	P32629	ANP1_YEAST	S000000762
ANR2	YKL047W	P36090	ANR2_YEAST	S000001530
ANS1	YHR126C	P38832	ANS1_YEAST	S000001168
ANT1	YPR128C	Q06497	ANT1_YEAST	S000006332
AOS1;RHC31	YPR180W	Q06624	RHC31_YEAST	S000006384
APA1;DTP	YCL050C	P16550	APA1_YEAST	S000000555
APA2	YDR530C	P22108	APA2_YEAST	S000002938
APC1	YNL172W	P53886	APC1_YEAST	S000005116
APC11	YDL008W	Q12157	APC11_YEAST	S000002166
APC2;RSI1	YLR127C	Q12440	APC2_YEAST	S000004117
APC4	YDR118W	Q04601	APC4_YEAST	S000002525
APC5;RMC1	YOR249C	Q08683	APC5_YEAST	S000005775
APC9	YLR102C	Q12107	APC9_YEAST	S000004092
APD1	YBR151W	P38281	APD1_YEAST	S000000355
APE1;API;LAP4;YSC1	YKL103C	P14904	AMPL_YEAST	S000001586
APE2;LAP1	YKL157W	P32454	APE2_YEAST	S000001640
APE3	YBR286W	P37302	APE3_YEAST	S000000490
APE4	YHR113W	P38821	DNPEP_YEAST	S000001155
API2	YDR525W	Q04413	API2_YEAST	S000002933
APJ1	YNL077W	P53940	APJ1_YEAST	S000005021
APL1;YAP80	YJR005W	P27351	AP2B_YEAST	S000003765
APL2	YKL135C	P36000	AP1B1_YEAST	S000001618
APL3	YBL037W	P38065	AP2A_YEAST	S000000133
APL4	YPR029C	Q12028	AP1G1_YEAST	S000006233
APL5;YKS4	YPL195W	Q08951	AP3D_YEAST	S000006116
APL6;YKS5	YGR261C	P46682	AP3B_YEAST	S000003493
APM1;YAP54	YPL259C	Q00776	AP1M1_YEAST	S000006180
APM2	YHL019C	P38700	APM2_YEAST	S000001011
APM3;YKS6	YBR288C	P38153	AP3M_YEAST	S000000492
APM4;AMP1	YOL062C	Q99186	AP2M_YEAST	S000005423
APN1	YKL114C	P22936	APN1_YEAST	S000001597
APN2;ETH1	YBL019W	P38207	APN2_YEAST	S000000115
APP1	YNL094W	P53933	APP1_YEAST	S000005038
APQ12	YIL040W	P40532	APQ12_YEAST	S000001302
APQ13	YJL075C	P47036	APQ13_YEAST	S000003611
APS1;YAP19	YLR170C	P35181	AP1S1_YEAST	S000004160
APS2;YAP17	YJR058C	Q00381	AP2S_YEAST	S000003819
APS3;YKS7	YJL024C	P47064	AP3S_YEAST	S000003561
APT1	YML022W	P49435	APT1_YEAST	S000004484
APT2	YDR441C	P36973	APT2_YEAST	S000002849
AQR1	YNL065W	P53943	AQR1_YEAST	S000005009
AQY1;AQY1-2	YPR192W	P0CD91	AQY1_YEAST	S000006396
AQY2;AQY2-2	YLL052C	P0CD90	AQY2_YEAST	S000003975
ARA1	YBR149W	P38115	ARA1_YEAST	S000000353
ARA2	YMR041C	Q04212	ARA2_YEAST	S000004644
ARB1	YER036C	P40024	ARB1_YEAST	S000000838
ARC15	YIL062C	P40518	ARPC5_YEAST	S000001324
ARC18	YLR370C	Q05933	ARPC3_YEAST	S000004362
ARC19	YKL013C	P33204	ARPC4_YEAST	S000001496
ARC1;G4P1	YGL105W	P46672	ARC1_YEAST	S000003073
ARC35	YNR035C	P53731	ARPC2_YEAST	S000005318
ARC40	YBR234C	P38328	ARPC1_YEAST	S000000438
ARD1	YHR013C	P07347	ARD1_YEAST	S000001055
ARE1;SAT2	YCR048W	P25628	ARE1_YEAST	S000000644
ARE2;SAT1	YNR019W	P53629	ARE2_YEAST	S000005302
ARF1	YDL192W	P11076	ARF1_YEAST	S000002351
ARF2	YDL137W	P19146	ARF2_YEAST	S000002296
ARF3	YOR094W	P40994	ARF3_YEAST	S000005620
ARG1	YOL058W	P22768	ASSY_YEAST	S000005419
ARG2	YJL071W	P40360	NAGS_YEAST	S000003607
ARG3	YJL088W	P05150	OTC_YEAST	S000003624
ARG4	YHR018C	P04076	ARLY_YEAST	S000001060
ARG5,6	YER069W	Q01217	ARG56_YEAST	S000000871
ARG7;ECM40	YMR062C	Q04728	ARGJ_YEAST	S000004666
ARG8	YOL140W	P18544	ARGD_YEAST	S000005500
ARG80;ARGR1	YMR042W	P07249	ARGR1_YEAST	S000004645
ARG81;ARGR2	YML099C	P05085	ARGR2_YEAST	S000004565
ARG82;ARGR3;IPK2	YDR173C	P07250	IPMK_YEAST	S000002580
ARH1	YDR376W	P48360	ADRO_YEAST	S000002784
ARI1	YGL157W	P53111	ARI1_YEAST	S000003125
ARK1	YNL020C	P53974	ARK1_YEAST	S000004965
ARL1;ARF3	YBR164C	P38116	ARL1_YEAST	S000000368
ARL3;ARP1	YPL051W	Q02804	ARL3_YEAST	S000005972
ARN1	YHL040C	P38731	ARN1_YEAST	S000001032
ARN2;TAF1	YHL047C	P38724	ARN2_YEAST	S000001039
ARO10	YDR380W	Q06408	ARO10_YEAST	S000002788
ARO1;AROM	YDR127W	P08566	ARO1_YEAST	S000002534
ARO2	YGL148W	P28777	AROC_YEAST	S000003116
ARO3	YDR035W	P14843	AROF_YEAST	S000002442
ARO4	YBR249C	P32449	AROG_YEAST	S000000453
ARO7;OSM2	YPR060C	P32178	CHMU_YEAST	S000006264
ARO8	YGL202W	P53090	ARO8_YEAST	S000003170
ARO80	YDR421W	Q04052	ARO80_YEAST	S000002829
ARO9	YHR137W	P38840	ARO9_YEAST	S000001179
ARP10	YDR106W	Q04549	ARP10_YEAST	S000002513
ARP1;ACT3;ACT5	YHR129C	P38696	ARP1_YEAST	S000001171
ARP2;ACT2	YDL029W	P32381	ARP2_YEAST	S000002187
ARP3;ACT4	YJR065C	P47117	ARP3_YEAST	S000003826
ARP4;ACT3	YJL081C	P80428	ARP4_YEAST	S000003617
ARP5	YNL059C	P53946	ARP5_YEAST	S000005004
ARP6	YLR085C	Q12509	ARP6_YEAST	S000004075
ARP7;SWP61	YPR034W	Q12406	ARP7_YEAST	S000006238
ARP8	YOR141C	Q12386	ARP8_YEAST	S000005667
ARP9;SWP59	YMR033W	Q05123	ARP9_YEAST	S000004636
ARR1;ACR1;YAP8	YPR199C	Q06596	YAP8_YEAST	S000006403
ARR2;ACR2	YPR200C	Q06597	ARR2_YEAST	S000006404
ARR3;ACR3	YPR201W	Q06598	ARR3_YEAST	S000006405
ART10	YLR392C	P18634	ART10_YEAST	S000004384
ART2	YLR154W-A	Q8TGM7	ART2_YEAST	S000028675
ART3	YLR154W-E	Q8TGM5	ART3_YEAST	S000028676
ART5	YGR068C	P53244	ART5_YEAST	S000003300
ARV1	YLR242C	Q06541	ARV1_YEAST	S000004232
ARX1	YDR101C	Q03862	ARX1_YEAST	S000002508
ASA1	YPR085C	Q06822	ASA1_YEAST	S000006289
ASC1;CPC2	YMR116C	P38011	GBLP_YEAST	S000004722
ASE1	YOR058C	P50275	ASE1_YEAST	S000005584
ASF1;CIA1	YJL115W	P32447	ASF1_YEAST	S000003651
ASF2	YDL197C	P32448	ASF2_YEAST	S000002356
ASG1	YIL130W	P40467	ASG1_YEAST	S000001392
ASG7	YJL170C	P46993	ASG7_YEAST	S000003706
ASH1	YKL185W	P34233	ASH1_YEAST	S000001668
ASI1	YMR119W	P54074	ASI1_YEAST	S000004725
ASI2	YNL159C	P53895	ASI2_YEAST	S000005103
ASI3	YNL008C	P53983	ASI3_YEAST	S000004953
ASK1	YKL052C	P35734	ASK1_YEAST	S000001535
ASK10;RGC2	YGR097W	P48361	ASK10_YEAST	S000003329
ASM4;NUP59	YDL088C	Q05166	NUP59_YEAST	S000002246
ASN1	YPR145W	P49089	ASNS1_YEAST	S000006349
ASN2	YGR124W	P49090	ASNS2_YEAST	S000003356
ASP1	YDR321W	P38986	ASPG1_YEAST	S000002729
ASP3-1	YLR155C	P0CZ17	ASP21_YEAST	S000004145
ASP3-2	YLR157C	P0CX77	ASP22_YEAST	S000004147
ASP3-3	YLR158C	P0CX78	ASP23_YEAST	S000004148
ASP3-4	YLR160C	P0CX79	ASP24_YEAST	S000004150
ASR1	YPR093C	Q06834	ASR1_YEAST	S000006297
AST1	YBL069W	P35183	AST1_YEAST	S000000165
AST2	YER101C	P39945	AST2_YEAST	S000000903
ATC1;LIC4	YDR184C	Q04005	LIC4_YEAST	S000002592
ATE1	YGL017W	P16639	ATE1_YEAST	S000002985
ATF1	YOR377W	P40353	ATF1_YEAST	S000005904
ATF2	YGR177C	P53296	ATF2_YEAST	S000003409
ATG10;APG10	YLL042C	Q07879	ATG10_YEAST	S000003965
ATG11;CVT9	YPR049C	Q12527	ATG11_YEAST	S000006253
ATG12;APG12	YBR217W	P38316	ATG12_YEAST	S000000421
ATG13;APG13	YPR185W	Q06628	ATG13_YEAST	S000006389
ATG14;APG14;CVT12	YBR128C	P38270	ATG14_YEAST	S000000332
ATG15;AUT5;CVT17	YCR068W	P25641	ATG15_YEAST	S000000664
ATG16;APG15;APG16;CVT11;SAP18	YMR159C	Q03818	ATG16_YEAST	S000004769
ATG17;APG17	YLR423C	Q06410	ATG17_YEAST	S000004415
ATG18;AUT10;CVT18;NMR1;SVP1	YFR021W	P43601	ATG18_YEAST	S000001917
ATG19;CVT19	YOL082W	P35193	ATG19_YEAST	S000005442
ATG1;APG1;AUT3;CVT10	YGL180W	P53104	ATG1_YEAST	S000003148
ATG20;CVT20;SNX42	YDL113C	Q07528	ATG20_YEAST	S000002271
ATG21;CVT21;HSV1;MAI1	YPL100W	Q02887	ATG21_YEAST	S000006021
ATG22;AUT4	YCL038C	P25568	ATG22_YEAST	S000000543
ATG23;CVT23	YLR431C	Q06671	ATG23_YEAST	S000004423
ATG26;UGT51	YLR189C	Q06321	ATG26_YEAST	S000004179
ATG27;ETF1	YJL178C	P46989	ATG27_YEAST	S000003714
ATG29	YPL166W	Q12092	ATG29_YEAST	S000006087
ATG2;APG2;AUT8;SPO72	YNL242W	P53855	ATG2_YEAST	S000005186
ATG31;CIS1	YDR022C	Q12421	ATG31_YEAST	S000002429
ATG32;ECM17	YIL146C	P40458	ATG32_YEAST	S000001408
ATG33	YLR356W	Q06485	ATG33_YEAST	S000004348
ATG34;ATG19-B	YOL083W	Q12292	ATG34_YEAST	S000005443
ATG36	YJL185C	P46983	ATG36_YEAST	S000003721
ATG38	YLR211C	Q05789	ATG38_YEAST	S000004201
ATG39	YLR312C	Q06159	ATG39_YEAST	S000004303
ATG3;APG3;AUT1	YNR007C	P40344	ATG3_YEAST	S000005290
ATG40	YOR152C	Q99325	ATG40_YEAST	S000005678
ATG41;ICY2	YPL250C	Q12048	ATG41_YEAST	S000006171
ATG4;APG4;AUT2	YNL223W	P53867	ATG4_YEAST	S000005167
ATG5;APG5	YPL149W	Q12380	ATG5_YEAST	S000006070
ATG7;APG7;CVT2	YHR171W	P38862	ATG7_YEAST	S000001214
ATG8;APG8;AUT7;CVT5	YBL078C	P38182	ATG8_YEAST	S000000174
ATG9;APG9;AUT9;CVT7	YDL149W	Q12142	ATG9_YEAST	S000002308
ATH1	YPR026W	P48016	ATH1_YEAST	S000006230
ATM1;MDY	YMR301C	P40416	ATM1_YEAST	S000004916
ATO2;FUN34	YNR002C	P32907	ATO2_YEAST	S000005285
ATO3	YDR384C	Q12359	ATO3_YEAST	S000002792
ATP1	YBL099W	P07251	ATPA_YEAST	S000000195
ATP10	YLR393W	P18496	ATP10_YEAST	S000004385
ATP11	YNL315C	P32453	ATP11_YEAST	S000005259
ATP12	YJL180C	P22135	ATP12_YEAST	S000003716
ATP14	YLR295C	Q12349	ATP14_YEAST	S000004286
ATP15	YPL271W	P21306	ATP5E_YEAST	S000006192
ATP16	YDL004W	Q12165	ATPD_YEAST	S000002162
ATP17	YDR377W	Q06405	ATPK_YEAST	S000002785
ATP18	YML081C-A	P81450	ATP18_YEAST	S000007247
ATP19	YOL077W-A	P81451	ATP19_YEAST	S000007339
ATP2	YJR121W	P00830	ATPB_YEAST	S000003882
ATP20	YPR020W	Q12233	ATPN_YEAST	S000006224
ATP22;TCM10	YDR350C	P50273	ATP22_YEAST	S000002758
ATP23	YNR020C	P53722	ATP23_YEAST	S000005303
ATP25	YMR098C	Q03153	ATP25_YEAST	S000004704
ATP3;ATP3a;ATP3b	YBR039W	P38077	ATPG_YEAST	S000000243
ATP4	YPL078C	P05626	ATPF_YEAST	S000005999
ATP5;OSCP	YDR298C	P09457	ATPO_YEAST	S000002706
ATP6;OLI2;OLI4;PHO1	Q0085	P00854	ATP6_YEAST	S000007268
ATP7	YKL016C	P30902	ATP7_YEAST	S000001499
ATP8;AAP1	Q0080	P00856	ATP8_YEAST	S000007267
ATR1;SNQ1	YML116W	P13090	ATR1_YEAST	S000004584
ATS1;KTI13	YAL020C	P31386	ATS1_YEAST	S000000018
ATX1	YNL259C	P38636	ATX1_YEAST	S000005203
ATX2	YOR079C	Q12067	ATX2_YEAST	S000005605
AUA1	YFL010W-A	P32450	AUA1_YEAST	S000001955
AUR1	YKL004W	P36107	AUR1_YEAST	S000001487
AUS1	YOR011W	Q08409	AUS1_YEAST	S000005537
AVL9	YLR114C	Q12500	AVL9_YEAST	S000004104
AVO1	YOL078W	Q08236	AVO1_YEAST	S000005438
AVO2	YMR068W	Q04749	AVO2_YEAST	S000004672
AVT1	YJR001W	P47082	AVT1_YEAST	S000003761
AVT2	YEL064C	P39981	AVT2_YEAST	S000000790
AVT3	YKL146W	P36062	AVT3_YEAST	S000001629
AVT4	YNL101W	P50944	AVT4_YEAST	S000005045
AVT5	YBL089W	P38176	AVT5_YEAST	S000000185
AVT6	YER119C	P40074	AVT6_YEAST	S000000921
AVT7	YIL088C	P40501	AVT7_YEAST	S000001350
AXL1	YPR122W	P40851	AXL1_YEAST	S000006326
AXL2;BUD10;SRO4	YIL140W	P38928	AXL2_YEAST	S000001402
AYR1	YIL124W	P40471	AYR1_YEAST	S000001386
AYT1	YLL063C	Q12226	AYT1_YEAST	S000003986
AZF1	YOR113W	P41696	AZF1_YEAST	S000005639
AZR1	YGR224W	P50080	AZR1_YEAST	S000003456
BAG7	YOR134W	Q12128	BAG7_YEAST	S000005660
BAP2	YBR068C	P38084	BAP2_YEAST	S000000272
BAP3;PAP1	YDR046C	P41815	BAP3_YEAST	S000002453
BAR1;SST1	YIL015W	P12630	BAR1_YEAST	S000001277
BAS1	YKR099W	P22035	BAS1_YEAST	S000001807
BAT1;ECA39;TWT1	YHR208W	P38891	BCA1_YEAST	S000001251
BAT2;TWT2	YJR148W	P47176	BCA2_YEAST	S000003909
BBC1;MTI1	YJL020C	P47068	BBC1_YEAST	S000003557
BBP1	YPL255W	Q12365	BBP1_YEAST	S000006176
BCD1	YHR040W	P38772	BCD1_YEAST	S000001082
BCH1	YMR237W	Q05029	BCH1_YEAST	S000004850
BCH2;FMP50	YKR027W	P36122	BCH2_YEAST	S000001735
BCK1;LAS3;SLK1;SSP31	YJL095W	Q01389	BCK1_YEAST	S000003631
BCK2;CTR7	YER167W	P33306	BCK2_YEAST	S000000969
BCP1	YDR361C	Q06338	BCP1_YEAST	S000002769
BCS1	YDR375C	P32839	BCS1_YEAST	S000002783
BCY1;REG1;SRA1	YIL033C	P07278	KAPR_YEAST	S000001295
BDF1	YLR399C	P35817	BDF1_YEAST	S000004391
BDF2	YDL070W	Q07442	BDF2_YEAST	S000002228
BDH1;BDH	YAL060W	P39714	BDH1_YEAST	S000000056
BDH2	YAL061W	P39713	BDH2_YEAST	S000000057
BDP1;TFC5	YNL039W	P46678	TFC5_YEAST	S000004984
BDS1	YOL164W	Q08347	BDS1_YEAST	S000005524
BEM1;SRO1	YBR200W	P29366	BEM1_YEAST	S000000404
BEM2;IPL2;SUP9	YER155C	P39960	BEM2_YEAST	S000000957
BEM3	YPL115C	P32873	BEM3_YEAST	S000006036
BEM4	YPL161C	P39011	BEM4_YEAST	S000006082
BER1	YLR412W	Q06688	SRR1L_YEAST	S000004404
BET1;SLY12	YIL004C	P22804	BET1_YEAST	S000001266
BET2	YPR176C	P20133	PGTB2_YEAST	S000006380
BET3	YKR068C	P36149	BET3_YEAST	S000001776
BET4	YJL031C	Q00618	PGTA_YEAST	S000003568
BET5	YML077W	Q03630	BET5_YEAST	S000004542
BFA1	YJR053W	P47113	BFA1_YEAST	S000003814
BFR1	YOR198C	P38934	BFR1_YEAST	S000005724
BFR2	YDR299W	Q06631	BFR2_YEAST	S000002707
BGL2;SCW9	YGR282C	P15703	BGL2_YEAST	S000003514
BI2	Q0110	P03873	MBI2_YEAST	S000007271
BI3	Q0115	Q9ZZW7	MBI3_YEAST	S000007272
BI4;SCBI4	Q0120	P03879	MBI4_YEAST	S000007273
