Foci_Nucleus	Treat_collapsed	Treatment	Light
10	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
16	OA L-	Okadaic acid	Off
16	OA L-	Okadaic acid	Off
10	OA L-	Okadaic acid	Off
17	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
15	OA L-	Okadaic acid	Off
5	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
13	OA L-	Okadaic acid	Off
5	OA L-	Okadaic acid	Off
25	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
6	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
15	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
11	OA L-	Okadaic acid	Off
5	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
14	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
7	OA L-	Okadaic acid	Off
7	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
5	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
3	OA L-	Okadaic acid	Off
16	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
7	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
20	OA L-	Okadaic acid	Off
12	OA L-	Okadaic acid	Off
4	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
2	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
10	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L-	Okadaic acid	Off
0	OA L-	Okadaic acid	Off
1	OA L+	Okadaic acid	On
5	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
5	OA L+	Okadaic acid	On
27	OA L+	Okadaic acid	On
12	OA L+	Okadaic acid	On
11	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
5	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
4	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
4	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
7	OA L+	Okadaic acid	On
15	OA L+	Okadaic acid	On
8	OA L+	Okadaic acid	On
3	OA L+	Okadaic acid	On
4	OA L+	Okadaic acid	On
16	OA L+	Okadaic acid	On
7	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
10	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
12	OA L+	Okadaic acid	On
10	OA L+	Okadaic acid	On
16	OA L+	Okadaic acid	On
4	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
3	OA L+	Okadaic acid	On
5	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
11	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
8	OA L+	Okadaic acid	On
23	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
33	OA L+	Okadaic acid	On
11	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
32	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
15	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
3	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
3	OA L+	Okadaic acid	On
7	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
18	OA L+	Okadaic acid	On
3	OA L+	Okadaic acid	On
8	OA L+	Okadaic acid	On
5	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
5	OA L+	Okadaic acid	On
8	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
1	OA L+	Okadaic acid	On
3	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
2	OA L+	Okadaic acid	On
4	OA L+	Okadaic acid	On
6	OA L+	Okadaic acid	On
8	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
9	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	OA L+	Okadaic acid	On
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
2	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
2	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
2	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
1	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L-	Purvalanol A	Off
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
4	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
3	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
4	PA L+	Purvalanol A	On
3	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
6	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
1	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
2	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
3	PA L+	Purvalanol A	On
0	PA L+	Purvalanol A	On
