Human Uniprot	Xenopus protein name	MLO
Q13330	mta1	Mediator complex,Superenhancers-Mediator
Q13415	orc1	NA
Q13426	xrcc4	NA
Q13442	hap28	Speckles
Q13492	pica	NA
Q13496	mtm1	NA
Q13542	4ebp2	NA
Q13554	kcc2b	NA
Q13596	snx1	NA
Q13620	cul4b	NA
Q14137	bop1b	Nucleoli
Q14149	morc3	NA
Q14152	eif3a	Stress granules
Q14181	dpoa2	NA
Q14186	tfdp1	NA
Q14202	zmym3	NA
Q14203	dctn1	stress granules
Q14204	dyhc1	Stress granules,Nucleoli
Q14207	npat	Cajal bodies,Cajal bodies
Q14244	map7	NA
Q14493	slbp2	nucleolus, Cajal bodies,Cajal bodies,nucleolus, Cajal bodies,Nucleoli
Q14566	mcm6	Nucleoli
Q14571	itpr2	NA
Q14643	itpr1	NA
Q14669	tripc	NA
Q14671	pum1	P-bodies
Q14676	mdc1	53BP1 bodies,53BP1 bodies
Q14680	melk	NA
Q14694	ub10a	Stress granules
Q147X3	naa30	NA
Q14839	chd4	nucleolus,Superenhancers-Mediator,nucleolus,Nucleoli
Q14966	zn638	Stress granules,Nucleoli
Q14978	nolc1	nucleolus, stress granules, Cajal bodies,Nucleoli,nucleolus, stress granules, Cajal bodies,Cajal bodies
Q14997	psme4	NA
Q15003	cnd2	NA
Q15004	paf15	NA
Q15042	rb3gp	NA
Q15075	eea1	NA
Q15139	kpcd1	NA
Q15154	pcm1	NA
Q15276	rabe1	NA
Q15366	pcbp2	Nucleoli
Q15397	k0020	Nucleoli
Q15398	dlgp5	speckles,Speckles
Q15459	sf3a1	NA
Q15596	ncoa2	Superenhancers-Mediator
Q15649	znhi3	NA
Q15714	t22d1	NA
Q15717	elv1a	nucleolus, stress granules , P-bodies,Nucleoli,nucleolus, stress granules , P-bodies,P-bodies,nucleolus, stress granules , P-bodies,Stress granules
Q15836	vamp3	NA
Q16186	adm1a	NA
Q16643	dreb	NA
Q16658	fasc	Stress granules
Q16875	f263	NA
Q17RS7	gen	NA
Q1ZZU3	swi5	NA
Q2M296	mthsd	NA
Q2M2I8	aak1	NA
Q2M3G4	shrm1	NA
Q2NKX8	erc6l	NA
Q3YEC7	parf	NA
Q49A88	ccd14	NA
Q4G0J3	larp7	Nucleoli
Q4V328	grap1	NA
Q53EL6	pdcd4	NA
Q53EZ4	cep55	NA
Q53GS7	gle1	NPC,Nucleoli
Q53H80	akir2	PML bodies
Q53SF7	cobl1	NA
Q56NI9	esco2	NA
Q5J8M3	tmm85	NA
Q5JSZ5	prc2b	NA
Q5JVS0	habp4	Stress granules
Q5M775	cytsb	Nucleoli
Q5QJE6	tdif2	Nucleoli
Q5SW96	arhb	NA
Q5T0N5	fbp1l	NA
Q5T200	zc3hd	NA
Q5T4B2	gt253	Nucleoli
Q5T5Y3	camp1	NA
Q5TBB1	rnh2b	NA
Q5TC82	rc3h1	Stress granules
Q5TDH0	ddi2	NA
Q5UIP0	rif1	53BP1 bodies,Nucleoli
Q5VSL9	fa40a	NA
Q5VT25	mrcka	NA
Q5VTR2	bre1a	Nucleoli
Q5VUA4	zn318	NA
Q5VV41	arhgg	NA
Q5VZ89	den4c	NA
Q641Q2	fam21	nucleolus,Nucleoli
Q659C4	lar1b	NA
Q674X7	kazrn	NA
Q68G75	lemd1	Nucleoli
Q69YH5	cdca2	NA
Q6AI08	heat6	NA
Q6FI81	cpin1	NA
Q6IMN6	capr2	NA
Q6IN85	pp4r3	NA
Q6MZP7	lin54	NA
Q6NUQ4	t214a	NA
Q6NUT3	mfs12	NA
Q6NV74	CB055	NA
Q6P0Q8	mast2	NA
Q6P1L5	f117b	NA
Q6P3V2	zo10	NA
Q6PD62	ctr9	NA
Q6PJP8	dcr1a	Nucleoli
Q6PJT7	zc3he	Stress granules,Nucleoli
Q6PL18	atad2	Stress granules
Q6QNY0	bl1s3	NA
Q6RW13	atrap	NA
Q6VY07	pacs1	NA
Q6WCQ1	mprip	NA
Q6WKZ4	rfip1	NA
Q6ZMS7	zn783	NA
Q6ZRI6	CO039	NA
Q6ZRS2	srcap	NA
Q6ZU65	ubn2	NA
Q70E73	raph1	NA
Q7L590	mcm10	Nucleoli
Q7LBC6	kdm3b	Nucleoli
Q7Z2E3	aptx	Nucleoli
Q7Z2Z1	ticrr	NA
Q7Z3E5	armc9	NA
Q7Z478	dhx29	NA
Q7Z589	emsy	NA
Q7Z5L2	gidrp	NA
Q7Z6M1	rabek	NA
Q7Z6Z7	huwe1	Nucleoli
Q7Z7B0	flip1	NA
Q86SE8	nupl	Nucleoli
Q86SH2	zar1	NA
Q86T03	tm55b	NA
Q86TU7	setd3	NA
Q86U42	epa2a	NA
Q86U86	pb1	NA
Q86UE4	lyric	NA
Q86UE8	tlk2	NA
Q86UK5	lbh	NA
Q86UP2	ktn1	NA
Q86V81	tho4b	Nucleoli
Q86VN1	vps36	NA
Q86W92	lipb1	Speckles
Q86WB0	nipa	NA
Q86XL3	ankl2	NA
Q86XP3	ddx42	Nucleoli
Q86YL5	CH042	NA
Q86YP4	p66a	NA
Q8IV36	cq028	NA
Q8IV63	vrk3	NA
Q8IVT2	CS021	NA
Q8IWY9	cdan1	NA
Q8IWZ3	ankh1	NA
Q8IZ21	phr4b	NA
Q8IZE3	pace1	NA
Q8IZH2	xrn1	Stress granules,Nucleoli
Q8N0Z6	ttc5	NA
Q8N122	rptor	stress granules,Stress granules
Q8N1F7	nup93	NPC
Q8N201	int1	NA
Q8N344	mier2	NA
Q8N3X1	fnbp4	NA
Q8N4C8	mink1	NA
Q8N5C6	srbd1	NA
Q8N5I9	CL045	NA
Q8N5J2	fa63a	NA
Q8N5S9	kkcc1	NA
Q8N6L0	cc155	NA
Q8N7R7	ccy1b	NA
Q8N8A6	ddx51	Nucleoli
Q8N9N8	eif1a	NA
Q8NB91	fancb	NA
Q8NCF5	nf2ip	NA
Q8ND24	rn214	Stress granules
Q8ND30	lipb2	Speckles
Q8ND56	l14aa	P-bodies
Q8NDC0	missl	NA
Q8NE71	abcf1	Nucleoli
Q8NEF9	srfb1	Nucleoli
Q8NEM2	shcba	NA
Q8NEV8	exph5	NA
Q8NEY8	pphln	NA
Q8NFH5	nup53	NPC,NPC
Q8NFT6	dbf4b	NA
Q8TCJ2	stt3b	NA
Q8TD30	alat2	NA
Q8TEQ6	gemi5	NA
Q8TEW0	pard3	NA
Q8TEW8	par3l	NA
Q8TF74	wipf2	NA
Q8WUM0	nu133	NPC,NPC
Q8WV28	blnk	NA
Q8WVB6	ctf18	NA
Q8WVC0	leo1	Nucleoli
Q8WVV4	pof1b	NA
Q8WWM7	atx2l	Stress granules
Q8WYL5	ssh	NA
Q8WYP5	elys	NPC,Nucleoli,NPC,NPC
Q8WYQ5	dgcr8	NA
Q92547	tob1a	nucleolus, 53BP1 bodies,53BP1 bodies,nucleolus, 53BP1 bodies,Nucleoli
Q92609	tbcd5	NA
Q92614	my18a	NA
Q92621	nu205	Stress granules,NPC
Q92733	prcc	NA
Q92734	tfg	NA
Q92769	hda1b	NA
Q92890	ufd1	Nucleoli
Q92900	rent1	Stress granules,P-bodies,Superenhancers-Mediator
Q92945	fubp2	stress granules,Stress granules
Q93052	lpp	Stress granules
Q969H0	pof1	NA
Q969J3	l12r1	NA
Q969K3	rnf34	NA
Q96A65	exoc4	nucleolus,Nucleoli
Q96AT1	K1143	NA
Q96AX9	mib2	NA
Q96B36	akts1	NA
Q96C86	dcps	NA
Q96C90	pp14b	NA
Q96CS3	faf2b	NA
Q96CT7	c124a	NA
Q96D46	nmd3	Nucleoli
Q96EP1	chfr	NA
Q96EY5	f125a	NA
Q96FJ0	stalp	NA
Q96FT9	ift43	NA
Q96FV9	thoc1	NA
Q96G46	dus3l	NA
Q96GA3	ltv1	Nucleoli
Q96GX5	gwl	NA
Q96HC4	pdli5	stress granules,Stress granules
Q96HH9	gram3	NA
Q96I25	spf45	NA
Q96JB3	hic2	NA
Q96JG6	cc132	NA
Q96JJ7	tmx3	NA
Q96JM2	zn462	Superenhancers-Mediator
Q96K17	bt3l4	NA
Q96K21	zfy19	NA
Q96K31	CH076	NA
Q96K80	zc3ha	NA
Q96KB5	topk	NA
Q96KG9	ntkl	Speckles
Q96KQ7	ehmt2	NA
Q96LT7	CI072	NA
Q96M89	cc138	NA
Q96M93	adad1	NA
Q96MW1	ccd43	NA
Q96N58	zik1	NA
Q96N67	dock7	NA
Q96NB3	zn830	NA
Q96P47	agap3	NA
Q96PK6	rbm14	Speckles,Nucleoli,PML bodies
Q96QE3	atad5	NA
Q96QF0	rab3i	NA
Q96QF7	acrc	NA
Q96QZ7	magi1	NA
Q96R06	spag5	NA
Q96S38	ks6c1	NA
Q96S53	tesk2	NA
Q96SB4	srpk1	Nucleoli
Q96SK2	tm209	NA
Q96ST2	iws1a	Nucleoli
Q99541	plin2	NA
Q99543	dnjc2	NA
Q99590	scafb	NA
Q99613	eif3c	NA
Q99618	cdca3	NA
Q99661	kif2c	nucleolus,Nucleoli
Q99700	atx2	NA
Q99708	com1	NA
Q99733	np1l4	NA
Q99741	cdc6	NA
Q99871	haus7	Nucleoli
Q9BQI5	sgip1	NA
Q9BRP8	wibg	nucleolus,Nucleoli
Q9BSV6	sen34	NA
Q9BTF0	thum2	NA
Q9BUB5	mknk1	NA
Q9BUH6	CI142	NA
Q9BVJ6	ut14a	nucleolus,Nucleoli
Q9BVS5	tr61b	NA
Q9BW71	hirp3	NA
Q9BWW4	ssbp3	NA
Q9BXB4	osb11	NA
Q9BXF6	rfip5	NA
Q9BXJ8	t120a	NA
Q9BXT4	tdrd1	NA
Q9BYG3	mk67i	nucleolus, P-bodies,P-bodies,nucleolus, P-bodies,Nucleoli
Q9BYJ9	ythd1	NA
Q9BZE9	aspc1	NA
Q9BZI7	ren3b	Nucleoli
Q9C0C9	ube2o	NA
Q9C0E2	xpo4	NA
Q9C0E8	lnp	NA
Q9C0J8	wdr33	P-bodies,Nucleoli
Q9H063	maf1	Nucleoli
Q9H0D6	xrn2	Nucleoli
Q9H0G5	nsrp1	NA
Q9H1A4	apc1	NA
Q9H1E3	nucks	nucleolus,Nucleoli
Q9H211	cdt1	NA
Q9H2M9	rbgpr	NA
Q9H2P0	adnp	Superenhancers-Mediator
Q9H307	pinin	NA
Q9H3P7	gcp60	NA
Q9H3U1	un45a	NA
Q9H410	dsn1	nucleolus,Nucleoli
Q9H5N1	rabe2	NA
Q9H6R7	cb044	Nucleoli
Q9H6S0	ytdc2	P-bodies
Q9H6S1	azi2	NA
Q9H6U6	bcas3	Nucleoli
Q9H7D0	dock5	NA
Q9H7E9	ch033	NA
Q9H840	gemi7	NA
Q9H8V3	ect2	NA
Q9H9A6	lrc40	Nucleoli
Q9H9Q4	nhej1	Nucleoli
Q9HAV4	xpo5	NA
Q9HAW4	clspn	NA
Q9HC35	emal4	NA
Q9HC44	gpbl1	NA
Q9HCE0	epg5	NA
Q9HCH5	sytl2	NA
Q9NP79	vta1	NA
Q9NQ55	ssf1	Nucleoli
Q9NQ86	tri36	NA
Q9NQC3	rtn4	NA
Q9NQR1	set8b	NA
Q9NQS7	inceb	Nucleoli
Q9NQX3	geph	NA
Q9NR09	birc6	NA
Q9NR12	pdli7	Nucleoli
Q9NR30	ddx21	Stress granules,P-bodies,Nucleoli,PML bodies
Q9NRA8	4et	P-bodies
Q9NRL2	baz1a	NA
Q9NRY5	f1142	NA
Q9NSB8	home2	NA
Q9NSK0	klc4	NA
Q9NTJ3	smc4	Stress granules,Nucleoli
Q9NU19	tb22b	NA
Q9NU22	mdn1	Nucleoli
Q9NUL3	stau2	P-bodies
Q9NVG8	tbc13	Nucleoli
Q9NVH0	exd2	NA
Q9NVI1	fanci	NA
Q9NVP1	ddx18	P-bodies,Nucleoli
Q9NVU0	rpc5	NA
Q9NW82	wdr70	NA
Q9NWB7	ift57	NA
Q9NWH9	sltm	Speckles,Nucleoli
Q9NWS0	pihd1	Nucleoli
Q9NXE4	nsma3	NA
Q9NXG0	cntln	NA
Q9NXR1	nde1a	NA
Q9NXZ2	ddx43	NA
Q9NY74	etaa1	NA
Q9NYB9	abi2	NA
Q9NYP3	dons	NA
Q9NYZ3	GTSE1	NA
Q9NZ43	use1	NA
Q9P219	daple	Nucleoli
Q9P2D1	chd7	nucleolus,Superenhancers-Mediator,nucleolus,Nucleoli
Q9P2E9	rrbp1	NA
Q9UBB9	tfp11	NA
Q9UBC2	ep15r	NA
Q9UBL3	ash2l	Superenhancers-Mediator
Q9UBP0	spast	NA
Q9UBV2	se1l1	NA
Q9UER7	daxx	Cajal bodies
Q9UEY8	addg	NA
Q9UGL1	kdm5b	NA
Q9UGU0	tcf20	NA
Q9UGU5	hmgx4	NA
Q9UGV2	ndrg3	NA
Q9UHB6	lima1	NA
Q9UHR4	bi2l1	NA
Q9UIF9	baz2a	NA
Q9UJQ4	sall4	NA
Q9UJT9	fbxl7	NA
Q9UJU6	dbnla	NA
Q9UKE5	tnik	NA
Q9UKJ3	gptc8	Speckles
Q9UKX7	nup50	NPC,NPC
Q9UKY7	cdv3a	Nucleoli
Q9ULD2	mtus1	Nucleoli
Q9ULI0	atd2b	NA
Q9ULJ8	neb1	NA
Q9ULT8	hecd1	Nucleoli
Q9ULU4	pkcb1	NA
Q9ULW0	tpx2a	NA
Q9UM13	apc10	NA
Q9UM19	ical	NA
Q9UN36	ndrg2	NA
Q9UN79	sox13	NA
Q9UN86	g3bp2	Stress granules,PML bodies
Q9UNZ2	nsf1c	NA
Q9UPQ0	limc1	NA
Q9UPQ3	agap1	NA
Q9UPT5	exoc7	NA
Q9UQ35	srrm2	nuclear speckles
Q9Y2F5	K0947	NA
Q9Y2J2	e41l3	NA
Q9Y2J8	padi2	NA
Q9Y2T7	ybx2b	NA
Q9Y2V2	chsp1	stress granules,Stress granules
Q9Y2W6	tdrkh	NA
Q9Y2Z0	sugt1	Speckles
Q9Y320	tmx2	NA
Q9Y3T6	r3hc1	NA
Q9Y3X0	ccdc9	NA
Q9Y490	tln1	NA
Q9Y4C1	kd3ab	NA
Q9Y4K1	aim1	NA
Q9Y520	prc2c	stress granules,Stress granules
Q9Y534	csdc2	NA
Q9Y573	ipp	NA
Q9Y5P4	c43bp	NA
Q9Y5P8	p2r3b	NA
Q9Y5S2	mrckb	NA
Q9Y5Y5	pex16	NA
Q9Y6A5	tacc3	NA
Q9Y6D9	md1l1	NA
Q9Y6G9	dc1l1	NA
