C9JLW8	MCRI1_HUMAN	f195b
P32121	ARRB2_HUMAN	arrb2
P33076	C2TA_HUMAN	c2ta
P33981	TTK_HUMAN	ttk
P35222	CTNB1_HUMAN	ctnb
P35228	NOS2_HUMAN	nos1
P35236	PTN7_HUMAN	ptprr
P35398	RORA_HUMAN	rorg
P35568	IRS1_HUMAN	irs1b
P35611	ADDA_HUMAN	adda
P35638	DDIT3_HUMAN	ddit3
P35658	NU214_HUMAN	nu214
P36956	SRBP1_HUMAN	srbp1
P37198	NUP62_HUMAN	nup62
P37231	PPARG_HUMAN	pparg
P37802	TAGL2_HUMAN	tagl2
P38936	CDN1A_HUMAN	cdn1a
P40763	STAT3_HUMAN	sta31
P41182	BCL6_HUMAN	bcl6
P41212	ETV6_HUMAN	etv6
P41235	HNF4A_HUMAN	hnf4a
P42224	STAT1_HUMAN	stat1
P42226	STAT6_HUMAN	stat6
P42229	STA5A_HUMAN	sta5b
P42566	EPS15_HUMAN	eps15
P42574	CASP3_HUMAN	casp3
P42702	LIFR_HUMAN	lifr
P43354	NR4A2_HUMAN	nr4a2
P43364	MAGAB_HUMAN	magg1
P43403	ZAP70_HUMAN	zap70
P46527	CDN1B_HUMAN	cdn1b
P46937	YAP1_HUMAN	yap1
P47712	PA24A_HUMAN	pa24a
P48436	SOX9_HUMAN	sox9b
P49023	PAXI_HUMAN	paxi
P49137	MAPK2_HUMAN	mapk2
P49366	DHYS_HUMAN	dhys
P49407	ARRB1_HUMAN	arrb1
P49715	CEBPA_HUMAN	cebpa
P49768	PSN1_HUMAN	psn1
P49790	NU153_HUMAN	nu153
P49795	RGS19_HUMAN	rgs19
P49815	TSC2_HUMAN	tsc2
P49841	GSK3B_HUMAN	gsk3b
P50548	ERF_HUMAN	erf
P50616	TOB1_HUMAN	tob1
P51812	KS6A3_HUMAN	ks6a3
P52945	PDX1_HUMAN	pdx1
P53004	BIEA_HUMAN	biea
P53355	DAPK1_HUMAN	dapk1
P53667	LIMK1_HUMAN	limk1
P53778	MK12_HUMAN	mk12
P55211	CASP9_HUMAN	casp9
P55273	CDN2D_HUMAN	cdn2d
P55957	BID_HUMAN	bid
P56192	SYMC_HUMAN	symc
P56270	MAZ_HUMAN	maz
P56817	BACE1_HUMAN	bace1
P61586	RHOA_HUMAN	rhoa
P61978	HNRPK_HUMAN	hnrpk
P62070	RRAS2_HUMAN	rras2
P63000	RAC1_HUMAN	rac1
P63104	1433Z_HUMAN	1433z
P68400	CSK21_HUMAN	csk21
P78347	GTF2I_HUMAN	gtf2i
P78356	PI42B_HUMAN	pi42b
P78536	ADA17_HUMAN	ada17
P84022	SMAD3_HUMAN	smad3
P85298	RHG08_HUMAN	rhg08
P98177	FOXO4_HUMAN	foxo4
Q00059	TFAM_HUMAN	tfam
Q00613	HSF1_HUMAN	hsf
Q01094	E2F1_HUMAN	e2f1
Q01196	RUNX1_HUMAN	runx1
Q01844	EWS_HUMAN	ews
Q01860	PO5F1_HUMAN	p5f12
Q02078	MEF2A_HUMAN	mef2a
Q02156	KPCE_HUMAN	kpcl
Q02224	CENPE_HUMAN	cenpe
Q02447	SP3_HUMAN	sp3
Q02750	MP2K1_HUMAN	mp2k1
Q03060	CREM_HUMAN	creb1
Q04637	IF4G1_HUMAN	if4g1
Q05209	PTN12_HUMAN	ptn12
Q05639	EF1A2_HUMAN	ef1a2
Q05682	CALD1_HUMAN	cald1
Q06330	SUH_HUMAN	suh
Q06413	MEF2C_HUMAN	mef2c
Q06481	APLP2_HUMAN	aplp2
Q07343	PDE4B_HUMAN	pde4b
Q07817	B2CL1_HUMAN	ar11
Q07820	MCL1_HUMAN	mcl1
Q07889	SOS1_HUMAN	sos1
Q08495	DEMA_HUMAN	dema
Q08499	PDE4D_HUMAN	pde4d
Q09472	EP300_HUMAN	ep300
Q12772	SRBP2_HUMAN	srbp2
Q12904	AIMP1_HUMAN	aimp1
Q12931	TRAP1_HUMAN	trap1
Q12948	FOXC1_HUMAN	fxc1a
Q12959	DLG1_HUMAN	dlg1
Q12968	NFAC3_HUMAN	nfac3
Q13043	STK4_HUMAN	stk4
Q13115	DUS4_HUMAN	dus4
Q13127	REST_HUMAN	resta
Q13155	AIMP2_HUMAN	aimp2
Q13163	MP2K5_HUMAN	mp2k5
Q13164	MK07_HUMAN	mk07
Q13285	STF1_HUMAN	stf1
Q13309	SKP2_HUMAN	skp2
Q13322	GRB10_HUMAN	grb10
Q13363	CTBP1_HUMAN	ctbp1
Q13424	SNTA1_HUMAN	snta1
Q13480	GAB1_HUMAN	gab1
Q13485	SMAD4_HUMAN	smad4
Q13501	SQSTM_HUMAN	sqstm
Q13541	4EBP1_HUMAN	4ebp2
Q13586	STIM1_HUMAN	stim1
Q13614	MTMR2_HUMAN	mtmr2
Q13625	ASPP2_HUMAN	aspp2
Q13950	RUNX2_HUMAN	runx2
Q14247	SRC8_HUMAN	src8
Q14451	GRB7_HUMAN	grb7
Q14653	IRF3_HUMAN	irf3
Q14674	ESPL1_HUMAN	espl1
Q14686	NCOA6_HUMAN	ncoa6
Q14721	KCNB1_HUMAN	kcnb1
Q14749	GNMT_HUMAN	gnmt
Q14790	CASP8_HUMAN	casp8
Q14934	NFAC4_HUMAN	nfac4
Q15007	FL2D_HUMAN	fl2d
Q15046	SYK_HUMAN	syk
Q15075	EEA1_HUMAN	eea1
Q15303	ERBB4_HUMAN	erbb4
Q15366	PCBP2_HUMAN	pcbp2
Q15418	KS6A1_HUMAN	ks6aa
Q15554	TERF2_HUMAN	terf2
Q15596	NCOA2_HUMAN	ncoa2
Q15648	MED1_HUMAN	med1
Q15672	TWST1_HUMAN	twist
Q15717	ELAV1_HUMAN	elv1a
Q15746	MYLK_HUMAN	mylk
Q15750	TAB1_HUMAN	tab1
Q15759	MK11_HUMAN	mk11
Q15788	NCOA1_HUMAN	ncoa1
Q15796	SMAD2_HUMAN	smad2
Q15797	SMAD1_HUMAN	smad1
Q15910	EZH2_HUMAN	ezh2a
Q16254	E2F4_HUMAN	e2f4
Q16559	TAL2_HUMAN	lyl1
Q16584	M3K11_HUMAN	m3k10
Q16621	NFE2_HUMAN	nfe2
Q16659	MK06_HUMAN	mk06
Q16665	HIF1A_HUMAN	hif1a
Q16690	DUS5_HUMAN	dus5
Q16828	DUS6_HUMAN	dus6
Q3V6T2	GRDN_HUMAN	grdn
Q53ET0	CRTC2_HUMAN	crtc2
Q53EZ4	CEP55_HUMAN	cep55
Q53GS7	GLE1_HUMAN	gle1
Q5JQC9	AKAP4_HUMAN	aka11
Q5T447	HECD3_HUMAN	hecd3
Q7KZF4	SND1_HUMAN	snd1
Q7L5N1	CSN6_HUMAN	csn6
Q86U44	MTA70_HUMAN	mta70
Q86UC2	RSPH3_HUMAN	rsph3
Q86UR1	NOXA1_HUMAN	ncf2
Q8IW41	MAPK5_HUMAN	mapk5
Q8IX03	KIBRA_HUMAN	kibra
Q8IZP0	ABI1_HUMAN	abi1
Q8N122	RPTOR_HUMAN	rptor
Q8N5C8	TAB3_HUMAN	tab3
Q8N6T7	SIR6_HUMAN	sirt6
Q8N9N5	BANP_HUMAN	banp
Q8NET8	TRPV3_HUMAN	trpv4
Q8NHW3	MAFA_HUMAN	mafa
Q8TE85	GRHL3_HUMAN	grhl3
Q8WX93	PALLD_HUMAN	palld
Q8WYQ5	DGCR8_HUMAN	dgcr8
Q92793	CBP_HUMAN	cbp
Q92797	SYMPK_HUMAN	sympk
Q92908	GATA6_HUMAN	gat6b
Q92934	BAD_HUMAN	bad
Q92945	FUBP2_HUMAN	fubp2
Q92974	ARHG2_HUMAN	arhg2
Q92993	KAT5_HUMAN	kat5
Q93045	STMN2_HUMAN	stm2a
Q969H0	FBXW7_HUMAN	fbxw7
Q969R2	OSBP2_HUMAN	osbp1
Q969V6	MRTFA_HUMAN	mrtfa
Q96EB6	SIR1_HUMAN	sirt1
Q96EP5	DAZP1_HUMAN	dazp1
Q96FF9	CDCA5_HUMAN	cca5b
Q96FI4	NEIL1_HUMAN	neil1
Q96I25	SPF45_HUMAN	spf45
Q96LC9	BMF_HUMAN	bmf
Q96P20	NLRP3_HUMAN	nalp3
Q96Q27	ASB2_HUMAN	asb2
Q96RK0	CIC_HUMAN	cic
Q96RS0	TGS1_HUMAN	tgs1
Q99460	PSMD1_HUMAN	psmd1
Q99626	CDX2_HUMAN	cdx1
Q99814	EPAS1_HUMAN	epas1
Q99958	FOXC2_HUMAN	fxc2a
Q99967	CITE2_HUMAN	cite2
Q9BQQ3	GORS1_HUMAN	gors1
Q9BR01	ST4A1_HUMAN	st4a1
Q9BR76	COR1B_HUMAN	cor1c
Q9BTL3	RAMAC_HUMAN	ram
Q9BUB5	MKNK1_HUMAN	mknk1
Q9BY84	DUS16_HUMAN	dus16
Q9GZM8	NDEL1_HUMAN	ndl1a
Q9H1K0	RBNS5_HUMAN	rbns5
Q9H211	CDT1_HUMAN	cdt1
Q9H2B2	SYT4_HUMAN	syt4
Q9H3D4	P63_HUMAN	p63
Q9H3M7	TXNIP_HUMAN	txnip
Q9H8Y8	GORS2_HUMAN	gors2
Q9H9Z2	LN28A_HUMAN	ln28a
Q9NPI6	DCP1A_HUMAN	dcp1a
Q9NQ66	PLCB1_HUMAN	plcb1
Q9NQU5	PAK6_HUMAN	pak6
Q9NR28	DBLOH_HUMAN	dbloh
Q9NRA0	SPHK2_HUMAN	sphk2
Q9NRA8	4ET_HUMAN	4et
Q9NRF2	SH2B1_HUMAN	sh2b1
Q9NRR4	RNC_HUMAN	rnc
Q9NVD7	PARVA_HUMAN	parva
Q9NYA1	SPHK1_HUMAN	sphk1
Q9NYV6	RRN3_HUMAN	rrn3
Q9NZ72	STMN3_HUMAN	stmn3
Q9NZQ3	SPN90_HUMAN	spn90
Q9UBK2	PRGC1_HUMAN	prgc1
Q9UBN7	HDAC6_HUMAN	hdac6
Q9UGP4	LIMD1_HUMAN	limd1
Q9UHB6	LIMA1_HUMAN	lima1
Q9UIG0	BAZ1B_HUMAN	baz1b
Q9UJY1	HSPB8_HUMAN	hspb8
Q9UK80	UBP21_HUMAN	ubp21
Q9UKX7	NUP50_HUMAN	nup50
Q9ULC4	MCTS1_HUMAN	mcs1b
Q9ULV5	HSF4_HUMAN	hsf
Q9UPT5	EXOC7_HUMAN	exoc7
Q9UQ13	SHOC2_HUMAN	shoc2
Q9UQC2	GAB2_HUMAN	gab2
Q9UQF2	JIP1_HUMAN	jip1
Q9Y463	DYR1B_HUMAN	dyr1a
Q9Y613	FHOD1_HUMAN	fhod1
Q9Y6K1	DNM3A_HUMAN	dnm3a
Q9Y6Q9	NCOA3_HUMAN	ncoa3
Q9Y6W5	WASF2_HUMAN	wasf2
