A3KN83	SBNO1_HUMAN	sbno1
Q96IZ0	PAWR_HUMAN	pawr
Q96JM7	LMBL3_HUMAN	lmbl3
Q96K21	ANCHR_HUMAN	zfy19
Q96KM6	Z512B_HUMAN	z512b
Q96L92	SNX27_HUMAN	snx27
Q96P47	AGAP3_HUMAN	agap3
Q96PK6	RBM14_HUMAN	rbm14
Q96PM5	ZN363_HUMAN	zn363
Q96QT6	PHF12_HUMAN	phf12
Q96R06	SPAG5_HUMAN	spag5
Q96T17	MA7D2_HUMAN	ma7d2
Q96T58	MINT_HUMAN	mint
Q99459	CDC5L_HUMAN	cdc5l
Q99590	SCAFB_HUMAN	scafb
Q99661	KIF2C_HUMAN	kif2c
Q99708	CTIP_HUMAN	com1
Q99877	H2B1N_HUMAN	h2b
Q9BPX3	CND3_HUMAN	cnd3
Q9BQ67	GRWD1_HUMAN	grwd1
Q9BQG0	MBB1A_HUMAN	mbb1a
Q9BRJ6	CG050_HUMAN	CG050
Q9BST9	RTKN_HUMAN	rtkn
Q9BT25	HAUS8_HUMAN	haus8
Q9BUJ2	HNRL1_HUMAN	hnrl1
Q9BW19	KIFC1_HUMAN	ctk2
Q9BW61	DDA1_HUMAN	dda1
Q9BWT3	PAPOG_HUMAN	papog
Q9BXB5	OSB10_HUMAN	osb10
Q9BXS6	NUSAP_HUMAN	nsapc
Q9BY89	K1671_HUMAN	K1671
Q9BYG3	MK67I_HUMAN	mk67i
Q9BZ72	PITM2_HUMAN	pitm2
Q9BZ95	NSD3_HUMAN	nsd3
Q9H0B6	KLC2_HUMAN	klc4
Q9H0H5	RGAP1_HUMAN	rgap1
Q9H1B7	I2BPL_HUMAN	i2blb
Q9H1E3	NUCKS_HUMAN	nucks
Q9H211	CDT1_HUMAN	cdt1
Q9H410	DSN1_HUMAN	dsn1
Q9H4L7	SMRCD_HUMAN	smrcd
Q9H501	ESF1_HUMAN	esf1
Q9H6F5	CCD86_HUMAN	ccd86
Q9H788	SH24A_HUMAN	sh24a
Q9H7D0	DOCK5_HUMAN	dock5
Q9H814	PHAX_HUMAN	phax
Q9H8G2	CAAP1_HUMAN	caap
Q9H981	ARP8_HUMAN	arp8
Q9HAU0	PKHA5_HUMAN	pkha5
Q9HC52	CBX8_HUMAN	cbx8
Q9HC77	CENPJ_HUMAN	cenpj
Q9NP61	ARFG3_HUMAN	arfg3
Q9NP77	SSU72_HUMAN	ssu72
Q9NQG5	RPR1B_HUMAN	rpr1b
Q9NQS7	INCE_HUMAN	inceb
Q9NQW6	ANLN_HUMAN	anln
Q9NQX3	GEPH_HUMAN	geph
Q9NQZ2	SAS10_HUMAN	sas10
Q9NRA8	4ET_HUMAN	4et
Q9NRL2	BAZ1A_HUMAN	baz1a
Q9NRM7	LATS2_HUMAN	lats2
Q9NS23	RASF1_HUMAN	rasf1
Q9NSV4	DIAP3_HUMAN	diap3
Q9NTI5	PDS5B_HUMAN	pd5bb
Q9NVE7	PANK4_HUMAN	pank4
Q9NVZ3	NECP2_HUMAN	necp2
Q9NWT8	AKIP_HUMAN	akip
Q9NYB0	TE2IP_HUMAN	te2ip
Q9NYP9	MS18A_HUMAN	ms18a
Q9NYZ3	GTSE1_HUMAN	GTSE1
Q9NZM5	NOP53_HUMAN	gscr2
Q9NZU5	LMCD1_HUMAN	lmcd1
Q9P227	RHG23_HUMAN	rhg23
Q9P270	SLAI2_HUMAN	slai2
Q9P275	UBP36_HUMAN	ubp36
Q9P2F8	SI1L2_HUMAN	si1l1
Q9P2N5	RBM27_HUMAN	rbm27
Q9UBB4	ATX10_HUMAN	atx10
Q9UBD5	ORC3_HUMAN	orc3
Q9UBF8	PI4KB_HUMAN	pi4kb
Q9UBP0	SPAST_HUMAN	spast
Q9UBU7	DBF4A_HUMAN	dbf4a
Q9UDT6	CLIP2_HUMAN	clip2
Q9UDV6	TCF20_HUMAN	tcf20
Q9UHB6	LIMA1_HUMAN	lima1
Q9UIG0	BAZ1B_HUMAN	baz1b
Q9UJ70	NAGK_HUMAN	nagk
Q9UKV3	ACINU_HUMAN	acinu
Q9UKX7	NUP50_HUMAN	nup50
Q9ULW0	TPX2_HUMAN	tpx2a
Q9ULX3	NOB1_HUMAN	nob1
Q9UNN5	FAF1_HUMAN	faf1
Q9UPN3	MACF1_HUMAN	macf1
Q9UPQ0	LIMC1_HUMAN	limc1
Q9UPQ3	AGAP1_HUMAN	agap1
Q9UPY8	MARE3_HUMAN	mare3
Q9UQL6	HDAC5_HUMAN	hdac5
Q9Y266	NUDC_HUMAN	nudc
Q9Y2I6	NINL_HUMAN	ninl
Q9Y2R4	DDX52_HUMAN	ddx52
Q9Y2U5	M3K2_HUMAN	m3k2
Q9Y446	PKP3_HUMAN	pkp3
Q9Y483	MTF2_HUMAN	mtf2
Q9Y496	KIF3A_HUMAN	kif3a
Q9Y520	PRC2C_HUMAN	prc2c
Q9Y5B9	SP16H_HUMAN	sp16h
Q9Y657	SPIN1_HUMAN	spinz
Q9Y6A5	TACC3_HUMAN	tacc3
Q9Y6B7	AP4B1_HUMAN	ap4b1
